date,label,nb_hits,sum_time_spent,avg_page_load_time,bounce_rate,exit_rate,entrances,bounces
2024-09-14,about,23,229.35,1.105,19.4%,17.8%,10,4
2024-09-14,contact,31,297.25,0.614,13.4%,46.1%,29,4
2024-09-14,home,36,293.15,0.615,41.5%,31.6%,26,14
2024-09-14,services,19,145.12,0.518,37.4%,49.3%,18,7
2024-09-14,blog,10,91.43,0.933,33.1%,10.8%,1,3
2024-09-14,faq,4,34.62,0.878,49.8%,25.6%,1,1
2024-09-14,pricing,5,50.59,0.433,41.3%,58.1%,4,2
2024-09-14,testimonials,4,29.22,0.827,58.1%,13.7%,0,2
2024-09-15,about,29,305.85,0.986,56.3%,13.7%,6,16
2024-09-15,contact,38,327.99,0.646,50.1%,43.3%,21,19
2024-09-15,home,51,486.67,0.671,55.6%,38.1%,13,28
2024-09-15,services,17,142.83,0.788,16.5%,11.6%,6,2
2024-09-15,blog,11,103.91,0.594,42.4%,20.2%,6,4
2024-09-15,faq,12,103.38,0.726,35.6%,50.9%,8,4
2024-09-15,pricing,5,41.38,0.686,43.5%,30.2%,5,2
2024-09-15,testimonials,5,45.77,0.713,40.2%,12.6%,4,2
2024-09-16,about,32,304.23,1.195,36.9%,37.6%,3,11
2024-09-16,contact,33,333.03,0.676,38.2%,59.2%,21,12
2024-09-16,home,61,503.85,0.985,21.2%,12.0%,19,12
2024-09-16,services,22,227.29,0.921,30.9%,14.8%,8,6
2024-09-16,blog,14,117.85,0.623,16.8%,56.2%,13,2
2024-09-16,faq,12,77.21,0.824,69.8%,58.3%,4,8
2024-09-16,pricing,9,84.05,0.969,10.6%,15.1%,2,0
2024-09-16,testimonials,6,53.96,0.723,20.7%,28.3%,6,1
2024-09-17,about,39,388.1,1.412,48.2%,22.5%,29,18
2024-09-17,contact,55,496.07,1.091,44.6%,34.6%,4,24
2024-09-17,home,53,594.65,0.879,12.6%,59.7%,29,6
2024-09-17,services,23,202.72,0.948,68.0%,58.2%,0,15
2024-09-17,blog,13,114.83,0.45,32.4%,29.7%,5,4
2024-09-17,faq,12,112.16,0.638,69.4%,17.0%,10,8
2024-09-17,pricing,8,57.8,0.899,14.3%,29.8%,2,1
2024-09-17,testimonials,4,49.89,0.427,27.2%,39.5%,0,1
